"","x"
"1","abide"
"2","ability"
"3","able"
"4","abound"
"5","absolve"
"6","absorbent"
"7","absorption"
"8","abundance"
"9","abundant"
"10","accede"
"11","accentuate"
"12","accept"
"13","acceptable"
"14","acceptance"
"15","accessible"
"16","accession"
"17","acclaim"
"18","acclamation"
"19","accolade"
"20","accommodate"
"21","accommodation"
"22","accompaniment"
"23","accomplish"
"24","accomplishment"
"25","accord"
"26","accordance"
"27","accountable"
"28","accrue"
"29","accuracy"
"30","accurate"
"31","accurateness"
"32","achieve"
"33","achievement"
"34","acknowledgement"
"35","acquaint"
"36","acquaintance"
"37","acquit"
"38","acquittal"
"39","actual"
"40","actuality"
"41","adamant"
"42","adaptability"
"43","adaptable"
"44","adaptation"
"45","adaptive"
"46","adept"
"47","adeptness"
"48","adequate"
"49","adherence"
"50","adherent"
"51","adhesion"
"52","adhesive"
"53","adjunct"
"54","adjust"
"55","adjustable"
"56","adjustment"
"57","admirable"
"58","admiration"
"59","admire"
"60","admirer"
"61","admit"
"62","admittance"
"63","adorable"
"64","adore"
"65","adorn"
"66","adornment"
"67","adroit"
"68","adroitly"
"69","adulation"
"70","adult"
"71","advance"
"72","advancement"
"73","advantage"
"74","advantageous"
"75","advent"
"76","adventuresome"
"77","adventurous"
"78","advisable"
"79","advocacy"
"80","affability"
"81","affable"
"82","affection"
"83","affectionate"
"84","affiliate"
"85","affiliation"
"86","affinity"
"87","affirm"
"88","affirmation"
"89","affirmative"
"90","affix"
"91","affluence"
"92","affluent"
"93","afloat"
"94","aggregate"
"95","aggregation"
"96","agile"
"97","agility"
"98","agreeable"
"99","agreement"
"100","aid"
"101","alertness"
"102","alight"
"103","alive"
"104","allegiance"
"105","alleviate"
"106","alliance"
"107","allied"
"108","allies"
"109","allow"
"110","allowable"
"111","allowance"
"112","allure"
"113","ally"
"114","almighty"
"115","altruistic"
"116","amazement"
"117","amazing"
"118","ameliorate"
"119","amenable"
"120","amenity"
"121","amiability"
"122","amiable"
"123","amicable"
"124","amnesty"
"125","amour"
"126","ample"
"127","amplify"
"128","amply"
"129","amuse"
"130","amusement"
"131","angel"
"132","angelic"
"133","anoint"
"134","apocalypse"
"135","appeal"
"136","appease"
"137","append"
"138","applaud"
"139","applause"
"140","appoint"
"141","appreciable"
"142","appreciate"
"143","appreciation"
"144","appreciative"
"145","apprehend"
"146","approach"
"147","appropriate"
"148","approval"
"149","approve"
"150","apt"
