,X,day,arm,reward,user1,user2,user3,user4,user5
1,1286815,1,2,0,0.000215,1e-06,0.00012,0.000145,0.999519
2,724287,1,8,0,0.275,0.313872,0.010332,0.397807,0.002989
3,1397228,1,8,0,0.255072,0.001985,0.673516,0.068459,0.000967
4,78817,1,10,0,0.363559,0.02501,0.097403,0.508456,0.005573
5,677220,1,6,0,0.550611,0.065128,0.061431,0.319612,0.003218
6,934276,1,2,0,0.037919,0.003927,0.160024,0.797891,0.000238
7,1657343,1,5,0,0.082763,0.021458,0.136118,0.756048,0.003612
8,1744401,1,1,0,0.496622,0.422629,0.00771,0.072985,5.4e-05
9,783427,1,1,0,0.69996,0.040162,0.101659,0.139321,0.018897
10,1309307,1,1,0,0.01269,2.2e-05,0.890984,0.095423,0.000881
11,1261253,1,2,0,0.52553,0.130715,0.033353,0.303205,0.007196
12,808174,1,8,0,0.000539,0.000141,0.000228,0.00292,0.996172
13,1943613,1,10,0,0.005271,0.993525,3e-06,0.001201,0.0
14,1897825,1,10,0,0.023576,0.162146,0.009062,0.805141,7.5e-05
15,1392885,1,7,0,0.151328,0.000581,0.779851,0.067701,0.000539
16,529840,1,6,0,0.205474,0.035264,0.280974,0.475528,0.00276
17,633770,1,5,0,0.03284,0.7089,0.001846,0.256398,1.5e-05
18,394408,1,10,0,0.151369,9.2e-05,0.831564,0.016623,0.000353
19,1779447,1,1,0,0.169122,0.532271,0.005629,0.292777,0.000202
20,177873,1,1,1,0.038707,0.579929,0.003251,0.378075,3.8e-05
21,759162,1,7,0,0.341128,0.001034,0.642684,0.015137,1.7e-05
22,992271,1,10,0,0.104198,0.021775,0.06791,0.802872,0.003245
23,861326,1,1,0,0.04822,0.028959,0.005382,0.082105,0.835334
24,1047526,1,5,0,0.648517,0.156257,0.023778,0.170868,0.00058
25,235514,1,5,0,0.008946,0.011145,0.006228,0.973369,0.000311
26,1955537,1,2,0,0.701095,0.042773,0.080612,0.16971,0.005811
27,444867,1,1,1,0.227288,0.013662,0.108283,0.40667,0.244097
28,1165463,1,7,0,9.8e-05,1e-06,9.1e-05,0.000202,0.999608
29,7290,1,1,0,0.000899,0.000101,0.000573,0.006049,0.992378
30,358778,1,1,0,0.267682,0.02334,0.111227,0.596788,0.000964
31,150252,1,7,0,0.523023,0.061691,0.105531,0.30275,0.007004
32,982805,1,8,0,0.044386,0.005295,0.122916,0.826457,0.000946
33,1542000,1,1,0,0.605397,0.081709,0.086363,0.220181,0.006349
34,646269,1,7,0,0.019062,0.001368,0.109768,0.868761,0.001042
35,996955,1,5,0,0.180179,0.718709,0.001265,0.097447,0.002399
36,1137631,1,1,0,0.553971,0.097956,0.041033,0.299581,0.007459
37,733652,1,10,0,0.553029,0.045877,0.094129,0.291508,0.015457
38,820997,1,9,0,0.37935,0.004254,0.397239,0.21809,0.001067
39,942987,1,10,0,0.032985,2.9e-05,0.374036,0.036086,0.556864
40,409806,1,4,0,0.024508,0.001807,0.201233,0.772404,4.9e-05
41,1941148,1,7,1,0.00131,1e-06,0.992102,0.006586,1e-06
42,1506169,1,2,0,0.218868,0.005807,0.506671,0.26743,0.001224
43,1183293,1,2,0,0.050173,0.000598,0.90519,0.043999,4e-05
44,416283,1,7,0,0.387021,0.001591,0.562016,0.048412,0.000961
45,1206091,1,2,0,0.349252,0.009249,0.298844,0.342311,0.000344
46,1610254,1,5,1,0.006541,0.001041,0.108806,0.883522,9e-05
47,1032253,1,7,0,0.017636,0.013385,0.03482,0.933725,0.000434
48,1003614,1,3,0,0.007116,0.00041,0.001595,0.009283,0.981597
49,1350348,1,6,0,0.027278,0.000102,0.91213,0.060432,5.8e-05
50,1285987,1,1,0,0.025669,0.23836,0.004631,0.725687,0.005654
51,1062784,1,10,0,0.693512,0.041061,0.053498,0.206366,0.005562
52,1571566,1,6,0,0.518881,0.105469,0.038981,0.322688,0.013982
53,1277338,1,1,0,0.029434,0.000384,0.93448,0.035682,2e-05
54,1729214,1,3,0,0.200712,0.006703,0.366981,0.425218,0.000386
55,84436,1,1,0,0.022323,0.001504,0.003602,0.021223,0.951348
56,1406289,1,5,0,0.066399,0.000194,0.880532,0.052732,0.000143
57,516587,1,7,0,0.617267,0.281581,0.010434,0.090116,0.000602
58,1648312,1,1,0,0.030763,0.001087,0.594267,0.373593,0.000289
59,1940938,1,10,0,0.585413,0.15723,0.029164,0.218324,0.009869
60,753248,1,5,0,0.815963,0.035421,0.099961,0.045382,0.003272
61,489183,1,7,0,4e-06,3e-06,0.0,2e-05,0.999973
62,1515468,1,8,1,0.034164,0.001011,0.69809,0.266695,4e-05
63,1273369,1,9,0,0.55231,0.158117,0.021838,0.260913,0.006822
64,544355,1,8,0,1.3e-05,0.0,5e-06,5e-06,0.999977
65,924574,1,2,0,0.001926,0.000167,0.000107,0.001275,0.996525
66,699520,1,9,0,0.840626,0.011265,0.064787,0.063543,0.019779
67,1580902,1,8,0,0.253829,0.148909,0.050925,0.546099,0.000238
68,420205,1,8,1,0.042811,0.208299,0.003358,0.711171,0.034361
69,1396033,1,1,0,0.313605,0.071512,0.077881,0.533456,0.003547
70,1189148,1,3,0,0.476784,0.005372,0.353773,0.159435,0.004637
71,7812,1,8,0,0.009707,3.2e-05,0.94831,0.041861,9.1e-05
72,675200,1,1,0,0.000708,0.0,0.995973,0.003317,1e-06
73,1662646,1,6,0,0.076002,0.005674,0.422404,0.49583,9e-05
74,224925,1,5,0,0.036623,0.000855,0.761503,0.200943,7.6e-05
75,1379505,1,9,0,0.101799,0.003774,0.317444,0.576266,0.000716
76,1433121,1,10,0,0.007116,0.00041,0.001595,0.009283,0.981597
77,1323564,1,8,0,0.058718,0.576828,0.000602,0.362765,0.001087
78,744711,1,10,0,0.000368,4e-06,0.007306,0.039413,0.952909
79,729394,1,3,1,0.505524,0.139637,0.066272,0.28444,0.004126
80,1008277,1,4,0,0.127688,0.01517,0.587927,0.269144,7.2e-05
81,128854,1,1,0,0.584999,0.012154,0.205505,0.190082,0.007259
82,1159222,1,2,0,0.630989,0.093053,0.054169,0.208236,0.013554
83,876142,1,2,0,0.33847,0.456026,0.006435,0.199029,4e-05
84,186344,1,10,0,0.559304,0.088359,0.057209,0.290563,0.004566
85,1481875,1,8,0,0.019103,0.000932,0.394261,0.585485,0.000219
86,116864,1,10,0,0.34991,0.006258,0.25731,0.365557,0.020964
87,866732,1,2,0,0.353368,0.002022,0.612058,0.031353,0.001199
88,120424,1,7,0,0.09611,0.004915,0.40071,0.498185,8e-05
89,1698839,1,1,0,0.013562,1.7e-05,0.957409,0.028951,6.1e-05
90,391454,1,6,0,0.099221,0.002002,0.349475,0.539377,0.009924
91,1337852,1,1,0,0.000298,0.0,0.99907,0.000631,0.0
92,165374,1,1,0,0.096457,0.194634,5.3e-05,0.002626,0.706229
93,1011942,1,8,0,0.553029,0.045877,0.094129,0.291508,0.015457
94,435089,1,7,1,0.000405,1.1e-05,0.000222,0.000676,0.998686
95,1503274,1,2,0,0.105697,0.04946,0.061989,0.782473,0.000381
96,1591595,1,1,0,0.183302,0.033955,0.064021,0.715537,0.003185
97,452348,1,1,0,0.156178,0.020569,0.371693,0.451479,8.1e-05
98,663437,1,9,0,0.179117,0.387358,0.011111,0.421983,0.000431
99,1233447,1,10,0,0.017213,0.05481,0.011998,0.905726,0.010254
100,863864,1,6,0,0.116,0.128897,0.008705,0.745612,0.000785
101,25331,1,10,0,0.213558,0.67064,0.001153,0.112731,0.001917
102,35367,1,1,0,0.001971,7e-06,0.00097,0.000281,0.996771
103,1775411,1,1,0,0.108023,0.000624,0.743951,0.146564,0.000837
104,1993565,1,8,0,0.016653,0.067972,0.003756,0.911414,0.000205
105,1765785,1,3,0,0.039244,0.291141,0.000851,0.664402,0.004362
106,1235472,1,2,0,0.035239,0.000717,0.011177,0.015005,0.937864
107,497712,1,8,0,0.119398,0.001416,0.597708,0.279185,0.002293
108,1456578,1,6,0,0.008632,7e-06,0.980479,0.010819,6.3e-05
109,1292552,1,7,0,0.489847,0.060879,0.101672,0.344232,0.003369
110,977786,1,7,0,0.727851,0.091075,0.017898,0.148085,0.015091
111,1797454,1,1,0,0.341261,0.453845,0.015482,0.189269,0.000142
112,1540815,1,4,0,0.062167,0.013335,0.008111,0.075247,0.84114
113,1656444,1,5,0,0.081559,0.542356,0.005606,0.370422,5.6e-05
114,1492765,1,9,0,0.169284,0.152361,0.023671,0.65246,0.002225
115,1468820,1,5,0,0.156488,0.007961,0.638469,0.196847,0.000234
116,911015,1,7,0,0.153634,0.002069,0.493969,0.345486,0.004842
117,181537,1,3,0,0.299653,0.033207,0.107363,0.557615,0.002163
118,749481,1,7,0,0.0023,0.0,0.99418,0.003514,6e-06
119,1847900,1,6,0,0.579982,0.037387,0.043246,0.303369,0.036015
120,1880620,1,3,0,0.169835,0.001493,0.680899,0.146957,0.000816
121,1638233,1,2,0,0.285019,0.006337,0.299246,0.404834,0.004563
122,643937,1,6,0,0.664068,0.073064,0.041332,0.212738,0.008798
123,1286243,1,1,0,0.164859,0.004177,0.619668,0.210457,0.000838
124,545826,1,9,0,0.059934,0.018228,0.000422,0.013514,0.907902
125,771142,1,4,0,0.30378,0.003862,0.582172,0.109411,0.000775
126,1431159,1,9,0,0.019338,0.010827,0.058626,0.909187,0.002023
127,1911030,1,1,0,0.087215,0.101191,0.013308,0.797353,0.000933
128,81080,1,5,0,0.117219,0.10974,0.024748,0.747668,0.000625
