"","x"
"1","abandon"
"2","abandonment"
"3","abate"
"4","abdicate"
"5","abhor"
"6","abject"
"7","abnormal"
"8","abolish"
"9","abominable"
"10","abrasive"
"11","abrupt"
"12","abscond"
"13","absence"
"14","absent"
"15","absent-minded"
"16","absentee"
"17","absurd"
"18","absurdity"
"19","abuse"
"20","abyss"
"21","accident"
"22","accost"
"23","accursed"
"24","accusation"
"25","accuse"
"26","ache"
"27","acrimonious"
"28","acrimony"
"29","addict"
"30","addiction"
"31","admonish"
"32","admonition"
"33","adulterate"
"34","adulteration"
"35","adultery"
"36","adversary"
"37","adverse"
"38","adversity"
"39","affectation"
"40","afflict"
"41","affliction"
"42","afraid"
"43","against"
"44","aggravate"
"45","aggravation"
"46","aggression"
"47","aggressive"
"48","aggressiveness"
"49","aggressor"
"50","aggrieve"
"51","aghast"
"52","agitate"
"53","agitation"
"54","agitator"
"55","agonize"
"56","agony"
"57","ail"
"58","ailment"
"59","aimless"
"60","alarm"
"61","alarming"
"62","alas"
"63","alibi"
"64","alien"
"65","alienate"
"66","alienation"
"67","allegation"
"68","allege"
"69","aloof"
"70","altercation"
"71","ambiguity"
"72","ambiguous"
"73","ambivalent"
"74","ambush"
"75","amiss"
"76","amputate"
"77","anarchist"
"78","anarchy"
"79","anger"
"80","angry"
"81","anguish"
"82","animosity"
"83","annihilate"
"84","annihilation"
"85","annoy"
"86","annoyance"
"87","anomalous"
"88","anomaly"
"89","antagonism"
"90","antagonist"
"91","antagonistic"
"92","antagonize"
"93","anti-social"
"94","antipathy"
"95","antiquated"
"96","antitrust"
"97","anxiety"
"98","anxious"
"99","anxiousness"
"100","apathetic"
"101","apathy"
"102","appall"
"103","apprehension"
"104","apprehensive"
"105","arbitrary"
"106","arduous"
"107","argue"
"108","argument"
"109","arrest"
"110","arrogance"
"111","arrogant"
"112","artificial"
"113","ashamed"
"114","assail"
"115","assailant"
"116","assassin"
"117","assassinate"
"118","assault"
"119","astray"
"120","asunder"
"121","atrocious"
"122","atrophy"
"123","attack"
"124","audacious"
"125","audacity"
"126","austere"
"127","autocrat"
"128","autocratic"
"129","avarice"
